Date,Open,High,Low,Close,Adj Close,Volume
07/05/1964,7.444232,7.501593,7.434672,7.434672,1.661988,305955
08/05/1964,7.434672,7.469726,7.431485,7.450605,1.66555,298110
11/05/1964,7.450605,7.479286,7.437859,7.444232,1.664125,384405
12/05/1964,7.450605,7.482473,7.450605,7.476099,1.671249,235350
13/05/1964,7.476099,7.530274,7.476099,7.48566,1.673386,509925
14/05/1964,7.476099,7.476099,7.431485,7.450605,1.66555,313800
15/05/1964,7.450605,7.50478,7.441045,7.488846,1.674098,243195
18/05/1964,7.576482,7.576482,7.456979,7.536648,1.684784,583668
19/05/1964,7.536648,7.63225,7.536648,7.616316,1.702594,728016
20/05/1964,7.63225,7.731836,7.63225,7.731836,1.728417,1380720
21/05/1964,7.743786,7.807521,7.743786,7.791587,1.741774,1154784
22/05/1964,7.807521,7.871256,7.807521,7.823454,1.7489,979056
25/05/1964,7.823454,7.839388,7.695985,7.703952,1.722623,571116
26/05/1964,7.703952,7.727852,7.642208,7.680051,1.717279,847260
27/05/1964,7.680051,7.680051,7.584449,7.592416,1.697683,721740
28/05/1964,7.600382,7.648184,7.600382,7.648184,1.710152,464424
01/06/1964,7.648184,7.680051,7.540631,7.540631,1.686104,464424
02/06/1964,7.552581,7.616316,7.552581,7.576482,1.69412,458148
03/06/1964,7.576482,7.592416,7.488846,7.488846,1.674524,558564
04/06/1964,7.488846,7.512747,7.357393,7.357393,1.645132,640152
05/06/1964,7.357393,7.441045,7.345443,7.393244,1.653149,577392
08/06/1964,7.393244,7.441045,7.345443,7.345443,1.64246,263592
09/06/1964,7.35341,7.488846,7.35341,7.488846,1.674524,658980
10/06/1964,7.488846,7.536648,7.441045,7.441045,1.663836,395388
11/06/1964,7.441045,7.50478,7.433078,7.472913,1.670961,401664
12/06/1964,7.488846,7.536648,7.488846,7.528681,1.683432,282420
15/06/1964,7.544614,7.600382,7.544614,7.584449,1.695901,294972
16/06/1964,7.616316,7.6442,7.616316,7.636233,1.70748,326352
17/06/1964,7.6442,7.688018,7.6442,7.680051,1.717279,784500
18/06/1964,7.680051,7.692001,7.608349,7.608349,1.701245,464424
19/06/1964,7.608349,7.6442,7.592416,7.640217,1.708369,232212
22/06/1964,7.640217,7.664117,7.624283,7.660134,1.712824,288696
23/06/1964,7.660134,7.664117,7.608349,7.628266,1.705699,232212
24/06/1964,7.628266,7.672084,7.608349,7.668101,1.714606,351456
25/06/1964,7.668101,7.703952,7.660134,7.664117,1.713716,489528
26/06/1964,7.664117,7.680051,7.616316,7.616316,1.703028,288696
29/06/1964,7.616316,7.648184,7.604366,7.604366,1.700355,288696
30/06/1964,7.604366,7.63225,7.600382,7.600382,1.699464,307524
01/07/1964,7.628266,7.680051,7.628266,7.664117,1.713716,389112
02/07/1964,7.684034,7.727852,7.684034,7.711918,1.724404,552288
06/07/1964,7.711918,7.79557,7.711918,7.775653,1.738655,420492
07/07/1964,7.79557,7.839388,7.79557,7.823454,1.749345,571116
08/07/1964,7.823454,7.839388,7.787604,7.791587,1.742219,320076
09/07/1964,7.791587,7.823454,7.77167,7.77167,1.737765,282420
10/07/1964,7.77167,7.799554,7.688018,7.688018,1.71906,520908
13/07/1964,7.688018,7.692001,7.648184,7.672084,1.715497,552288
14/07/1964,7.672084,7.711918,7.496813,7.520714,1.681651,1317960
15/07/1964,7.528681,7.604366,7.528681,7.600382,1.699464,458148
16/07/1964,7.608349,7.640217,7.608349,7.63225,1.706589,376560
17/07/1964,7.63225,7.652167,7.624283,7.63225,1.706589,225936
20/07/1964,7.63225,7.63225,7.552581,7.552581,1.688776,282420
21/07/1964,7.552581,7.592416,7.512747,7.524697,1.682541,458148
22/07/1964,7.524697,7.544614,7.488846,7.512747,1.67987,313800
23/07/1964,7.512747,7.512747,7.472913,7.488846,1.674524,200832
24/07/1964,7.464946,7.464946,7.389261,7.389261,1.652257,533460
27/07/1964,7.389261,7.401211,7.345443,7.35341,1.64424,646428
28/07/1964,7.35341,7.36536,7.329509,7.337476,1.640678,495804
29/07/1964,7.345443,7.403203,7.345443,7.403203,1.655375,313800
30/07/1964,7.403203,7.409178,7.35341,7.35341,1.64424,225936
31/07/1964,7.35341,7.373327,7.345443,7.361377,1.646022,276144
03/08/1964,7.361377,7.361377,7.325526,7.325526,1.638007,213384
04/08/1964,7.265774,7.265774,7.078553,7.078553,1.583213,1186164
05/08/1964,7.078553,7.194073,7.042702,7.186106,1.607268,1261476
06/08/1964,7.186106,7.20204,7.078553,7.08652,1.584994,577392
07/08/1964,7.142288,7.186106,7.142288,7.154238,1.600141,495804
10/08/1964,7.154238,7.162205,7.142288,7.154238,1.600141,338904
11/08/1964,7.154238,7.178139,7.09847,7.09847,1.587668,627600
12/08/1964,7.09847,7.178139,7.082537,7.146272,1.598359,539736
13/08/1964,7.154238,7.210006,7.154238,7.210006,1.612615,439320
14/08/1964,7.210006,7.22594,7.122371,7.122371,1.593014,382836
17/08/1964,7.130338,7.170172,7.130338,7.130338,1.594795,301248
18/08/1964,7.130338,7.134321,7.122371,7.134321,1.595686,188280
19/08/1964,7.134321,7.134321,7.06262,7.066603,1.580539,389112
20/08/1964,7.054653,7.054653,6.867431,6.915233,1.546683,1092024
21/08/1964,6.923199,7.006851,6.923199,6.994901,1.564503,646428
24/08/1964,6.994901,7.006851,6.931166,6.933158,1.550693,320076
25/08/1964,6.933158,6.933158,6.803697,6.827597,1.527084,702912
26/08/1964,6.827597,6.867431,6.779796,6.815647,1.52441,765672
27/08/1964,6.823614,6.863448,6.823614,6.851498,1.532429,627600
28/08/1964,6.895315,6.974984,6.895315,6.974984,1.560048,445596
31/08/1964,6.974984,7.034736,6.955067,7.018802,1.569849,571116
01/09/1964,7.018802,7.050669,6.994901,7.026769,1.571631,426768
02/09/1964,7.026769,7.066603,7.006851,7.042702,1.575194,269868
03/09/1964,7.042702,7.082537,7.042702,7.078553,1.583213,533460
04/09/1964,7.078553,7.106437,7.054653,7.076562,1.582767,370284
08/09/1964,7.076562,7.102454,7.010835,7.014818,1.568958,338904
09/09/1964,7.014818,7.038719,6.931166,6.93515,1.551139,470700
10/09/1964,6.851498,6.851498,6.771829,6.789755,1.518619,1644312
11/09/1964,6.789755,6.839547,6.771829,6.775813,1.515501,840984
14/09/1964,6.775813,6.799713,6.564691,6.564691,1.468281,1079472
15/09/1964,6.584608,6.68021,6.584608,6.636393,1.484317,1004160
16/09/1964,6.652326,6.797721,6.652326,6.797721,1.520401,728016
17/09/1964,6.835564,6.939133,6.835564,6.915233,1.546683,771948
18/09/1964,6.915233,6.943117,6.739962,6.779796,1.516392,809604
21/09/1964,6.79573,6.883365,6.79573,6.79573,1.519956,351456
22/09/1964,6.79573,6.859465,6.779796,6.779796,1.516392,445596
23/09/1964,6.779796,6.851498,6.779796,6.851498,1.532429,357732
24/09/1964,6.851498,6.899299,6.851498,6.883365,1.539556,294972
25/09/1964,6.915233,7.034736,6.915233,6.990918,1.563611,884916
28/09/1964,6.990918,6.990918,6.93515,6.93515,1.551139,282420
29/09/1964,6.939133,6.978967,6.939133,6.971001,1.559158,257316
30/09/1964,6.971001,6.982951,6.9471,6.955067,1.555594,219660
01/10/1964,6.955067,6.955067,6.923199,6.927183,1.549357,175728
02/10/1964,6.911249,6.911249,6.811663,6.899299,1.54312,395388
05/10/1964,6.899299,6.907266,6.851498,6.855481,1.533321,351456
06/10/1964,6.803697,6.803697,6.759879,6.771829,1.514611,326352
07/10/1964,6.771829,6.79573,6.747929,6.779796,1.516392,351456
08/10/1964,6.779796,6.831581,6.771829,6.827597,1.527084,338904
09/10/1964,6.839547,6.875398,6.839547,6.867431,1.535993,458148
12/10/1964,6.859465,6.859465,6.81963,6.81963,1.525301,207108
13/10/1964,6.803697,6.803697,6.708094,6.708094,1.500355,439320
14/10/1964,6.708094,6.755895,6.692161,6.724028,1.503918,395388
15/10/1964,6.724028,6.779796,6.692161,6.779796,1.516392,552288
16/10/1964,6.791746,6.867431,6.791746,6.867431,1.535993,439320
19/10/1964,6.867431,6.867431,6.803697,6.81963,1.525301,307524
20/10/1964,6.779796,6.779796,6.731995,6.759879,1.511938,539736
